"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"Diagnostic Accuracy of Artificial Intelligence-Enabled Retinal Biomarkers for Detecting Type 2 Diabetes and Prediabetes Among Asian Indians [DART Study].","https://scispace.com/paper/41574589","2026","Journal Article","Diabetes technology & therapeutics","Kaup
Sil Kar
Carrillo-Larco
Dhamdhere
Lebowitz
Anjana
Jagannathan
Ali
Mohan
Narayan
Madabhushi
Rajalakshmi","10.1177/15209156261417296","","To identify retinal microvascular features that distinguish normoglycemia from diabetes mellitus (DM)[Study-1] and prediabetes (PreDM)[Study-2] among Asian Indians using artificial intelligence (AI); evaluate their diagnostic accuracy; and examine independent associations of oculomics scores [Oculomic Diabetes Score (ODiS) and Prediabetes Score (OPreS)] with glycemic status."
"Hybrid Deep Learning Framework for Continuous Blood Glucose Monitoring and Gestational Diabetes Risk Prediction.","https://scispace.com/paper/41568507","2026","Journal Article","Current diabetes reviews","Chanumolu
G
G","10.2174/0115733998380389251111041618","","Gestational diabetes mellitus (GDM) affects almost 10%-12% of pregnancies worldwide, threatening maternal and fetal life. Continuous glucose monitoring (CGM) forms the backbone of managing GDM, and the current methodologies largely disregard physiological and behavioral factors, thereby greatly reducing accuracy and clinical interpretability."
"Machine learning-based online prediction of nocturnal hypoglycemia in elderly patients with type 2 diabetes.","https://scispace.com/paper/41573194","2025","Journal Article","Frontiers in endocrinology","Liu
Guo
Li
Li
Huang
Zhao
Zhu
Liu
Wang
Lin
Wang
Gao
Gao
Liu","10.3389/fendo.2025.1685969","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12819298/pdf","Nocturnal hypoglycemia (NH) is a common adverse event in elderly patients with type 2 diabetes (T2D). This study aims to develop a clinically applicable model for predicting the risk of NH in elderly patients with T2D."
"Hemorrhage Segmentation in Fundus Images Using the U-Net 3+ Model: Performance Comparison Across Retinal Regions.","https://scispace.com/paper/41565928","2026","Journal Article","Journal of imaging informatics in medicine","Kang
Kim
Kim","10.1007/s10278-025-01837-4","","Diabetic retinopathy (DR) is one of the most common complications of diabetes, and timely detection of retinal hemorrhages is essential for preventing vision loss. This study evaluates the U-Net3 + model for pixel-level hemorrhage segmentation in fundus images and examines its performance across clinically meaningful retinal regions. Model performance was assessed using accuracy, sensitivity, specificity, and Dice score and further analyzed across perivascular and extravascular areas, perifoveal and extrafoveal regions, fovea-centered quadrants, and images stratified by hemorrhage burden. U-Net3 + achieved strong overall performance, with 99.93% accuracy, 87.03% sensitivity, 99.97% specificity, and an 85.02% Dice score. Higher segmentation accuracy was observed in extravascular regions and within the foveal area, while quadrant-wise performance remained largely consistent. Images with greater hemorrhage burden demonstrated higher segmentation reliability. These findings highlight the importance of region-aware evaluation and suggest that U-Net3 + can provide clinically meaningful support for automated DR screening. Further validation using larger and multi-center datasets is required to enhance the model's generalizability for real-world clinical deployment."
"Quantum denoising autoencoder improves retinal fundus image quality for early diabetic retinopathy screening.","https://scispace.com/paper/41565887","2026","Journal Article","Scientific reports","Chilukuri
P
Gatla
Almenweer","10.1038/s41598-026-35540-3","","Diabetic Retinopathy (DR) is a critical source of blindness that can be prevented globally, and accurate analysis of retinal fundus images enables early detection. Fundus images are often affected by multiple noise sources, which impair image quality and hinder the observation of delicate retinal structures, including microaneurysms and small blood vessels. Deep learning driven denoising models are computationally intensive and prone to overfitting on small medical datasets. In order to overcome these shortcomings, the present paper suggests a Quantum Denoising Autoencoder (QDAE), a hybrid quantum-classical architecture, which uses convolutional feature coding with parameterized quantum circuits (PQCs) in latent space. The suggested QDAE applies quantum superposition and entanglement to improve the latent representations, thereby improving denoising and retinal detail preservation. Experiments on the Diabetic Retinopathy 224 × 224 (2019) dataset show that QDAE performs considerably better than classical denoising architectures, including CAE, ResNet, and DnCNN with PSNR of 38.8 dB, SSIM of 0.96, and AMI of 0.88. The approach preserves delicate retinal patterns and intensity consistency, while incurring a slight computational overhead associated with shallow quantum circuits. The results presented above demonstrate that QDAE is a potential quantum-aided architecture for denoising retinal images and a feasible preprocessing procedure in early diabetic retinopathy."
"Annotation-free 3D reconstruction and quantification of retinal microvasculature by RADAR.","https://scispace.com/paper/41565785","2026","Journal Article","NPJ digital medicine","Zhang
Liu
Wu
Wu
Li
Chen
Wang
Liang
Lin
Zheng
Yao","10.1038/s41746-026-02366-2","","Three-dimensional mapping of retinal microvasculature is essential for monitoring systemic vascular health. Existing methods rely heavily on manual annotation or training-intensive deep learning models that lack generalizability. Here we report RADAR. This is an annotation-free computational framework for the 3D segmentation and quantification of optical coherence tomography angiography data. The pipeline integrates adaptive physics-aware denoising with topology-preserving centerline extraction to reconstruct complex networks without manual labeling. We validated the framework in healthy individuals and patients with early-stage diabetic retinopathy. The method outperformed standard segmentation tools and resolved layer-specific morphological alterations obscured in conventional two-dimensional projections. Quantitative analysis revealed distinct patterns of compensatory remodeling and increased tortuosity in diabetic eyes. RADAR enables precise extraction of volumetric biomarkers including vessel length and branching complexity. It provides a scalable tool for early detection and longitudinal assessment of ocular and systemic vascular diseases."
"Selecting measures of visual function to classify diabetic retinopathy status: a cross-sectional study.","https://scispace.com/paper/41558771","2026","Journal Article","BMJ open ophthalmology","Wright
Chakravarthy
Das
Graham
Naskas
Peto
Hogg","10.1136/bmjophth-2025-002536","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12820872/pdf","To identify combinations of up to three visual function tests with the best performance for classifying diabetic retinopathy (DR) severity stage. To describe in detail the measurements from a comprehensive set of visual function tests."
"Classifying retinal images via vascular-optic disc cross-segmentation and attentive feature selection.","https://scispace.com/paper/41545531","2026","Journal Article","Scientific reports","Khurshid
Chiranjeev
Singh
Vatsa","10.1038/s41598-025-89666-x","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12820054/pdf","The prevalence of retinal disorders is rising at an alarming rate, posing a significant risk of irreversible blindness without timely intervention. Recent advancements in artificial intelligence (AI) have enabled the development of automated screening systems for retinal image analysis. However, building robust models presents challenges due to inconsistencies in image acquisition, varying resolutions, and imbalanced class distributions. To address these issues, this research introduces a novel abnormality-aware attentive feature selection approach for classifying retinal images into three categories: healthy (H), glaucoma (G), and diabetic retinopathy (DR). This method focuses on extracting the most discriminative features to enhance classification performance. Additionally, we propose a cross-segmentation framework that extracts and integrates comprehensive multiview information-specifically, optic disc and vascular structures-from the input retinal images. By leveraging these supplementary features, our approach effectively addresses low inter-class variability and enriches the information available for accurate classification. Extensive experiments conducted on diverse publicly available datasets-including FIVES, Drishti-GS1, SUSTech, HRF, and PAPILA-demonstrate the robustness of the proposed method. The model achieved a balanced accuracy of 83% (95% CI: 80%-86%), with sensitivities of 0.81 for the healthy class, 0.81 for glaucoma, and 0.87 for diabetic retinopathy. The corresponding specificity values were 0.84, 0.83, and 0.85; positive predictive values (PPV) were 0.83, 0.75, and 0.90; and negative predictive values (NPV) were 0.86, 0.91, and 0.96, respectively. These results indicate that the model is robust in distinguishing between the three classes, exhibiting balanced performance across all metrics."
"Assessment of Correlation Between Diabetic Retinopathy and Metabolic Biomarkers Using Artificial Intelligence.","https://scispace.com/paper/41541002","2026","Journal Article","Journal of diabetes research","Aydemir
Bilgin
Sari
Doğan
Bulut
Akar","10.1155/jdr/9085827","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12801202/pdf","One of the main causes of blindness in the world, diabetic retinopathy (DR) is a dangerous condition that impairs vision in diabetics. Preventing visual loss requires early recognition of DR and prompt treatments. Artificial intelligence (AI) software combined with nonmydriatic fundus cameras has demonstrated encouraging gains in DR screening effectiveness. However, there are not many studies that systematically compare the diagnostic effectiveness of various nonmydriatic cameras and AI software in the field of endocrinology, where managing diabetes and its complications is crucial. By offering vital information for enhancing diabetes care plans and fortifying preventative actions in the context of endocrine health, this study seeks to close this knowledge gap."
"Diabetic retinopathy detection and grading system using deep learning approach.","https://scispace.com/paper/41522450","2026","Journal Article","Digital health","Raja
Kumarganesh
Sagayam
Dang","10.1177/20552076251410982","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12783591/pdf","Early screening for diabetic retinopathy (DR) prevents vision loss in diabetic patients."
